,Name,Brand,Price,Link
54,"HP 15s-fq5486TU Core i3 12th Gen 15.6"" FHD Laptop",HP,58900,https://www.startech.com.bd/hp-15s-fq5486tu-core-i3-12th-gen-laptop
55,"Asus ExpertBook B1 B1500CEAE Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",Asus,59000,https://www.startech.com.bd/asus-expertbook-b1-b1500ceae-i3-11th-gen-laptop
56,"Walton Passion BP7800 Core i7 8th Gen 15.6"" HD Laptop",Walton,59500,https://www.startech.com.bd/walton-passion-bp7800-core-i7-8th-gen-laptop
57,"ASUS VivoBook 15 X515EA Core i3 11th Gen 8GB RAM 512GB SSD 15.6"" FHD Laptop",ASUS,59500,https://www.startech.com.bd/asus-vivobook-15-x515ea-core-i3-laptop
58,"ASUS VivoBook 15 X515EA Core i3 11th Gen 8GB RAM 512GB SSD 15.6"" FHD Laptop With Fingerprint",ASUS,59500,https://www.startech.com.bd/asus-vivobook-15-x515ea-i3-11th-gen-fhd-laptop
59,"Acer TravelMate TMP214-53 Core i3 11th Gen 8GB RAM 14"" FHD Laptop",Acer,60000,https://www.startech.com.bd/acer-travelmate-tmp214-53-core-i3-11th-gen-fhd-laptop
60,"Acer TravelMate TMP215-53 Core i3 11th Gen 8GB RAM 15.6"" FHD Laptop",Acer,60000,https://www.startech.com.bd/acer-travelmate-tmp215-53-core-i3-11th-gen-fhd-laptop
61,"ASUS VivoBook 15 X515JA Core i5 10th Gen 15.6"" FHD Laptop",ASUS,60000,https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i5-10th-gen-fhd-laptop
62,"HP 15s-eq2171AU Ryzen 3 5300U 15.6"" FHD Laptop",HP,61000,https://www.startech.com.bd/hp-15s-eq2171au-ryzen-3-5300u-laptop
63,"MSI Modern 14 B11MO Core i3 11th Gen 14"" FHD Laptop",MSI,62000,https://www.startech.com.bd/msi-modern-14-b11mo-i3-11th-gen-laptop
64,"Lenovo IdeaPad 1 14AMN7 AMD Ryzen 5 14"" FHD Laptop with DDR5 RAM",Lenovo,60000,https://www.startech.com.bd/lenovo-ideapad-1-14amn7-amd-ryzen-5-fhd-laptop
65,"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 15.6"" FHD Laptop with DDR5 RAM",Lenovo,60000,https://www.startech.com.bd/lenovo-ideapad-1-15amn7-amd-ryzen-5-fhd-laptop
66,"HP 15s-fq5487TU Core i3 12th Gen 15.6"" FHD Laptop",HP,62900,https://www.startech.com.bd/hp-15s-fq5487tu-core-i3-12th-gen-laptop
67,"DOEL T10 Core i5 10th Gen 14"" FHD Laptop",DOEL,62999,https://www.startech.com.bd/doel-t10-core-i5-10th-gen-laptop
