,Name,Brand,Price,Link,Storage
98,"Asus Vivobook S15 S513EA Core i3 11th Gen 15.6"" OLED FHD Laptop",Asus,71000,https://www.startech.com.bd/asus-vivobook-s15-s513ea-core-i3-11th-gen-oled-laptop,"RAM: 8GB DDR4, Storage: 512G SSD"
99,"ASUS ExpertBook P1 P1412CEA Core i5 11th Gen 14"" FHD Laptop",ASUS,65500,https://www.startech.com.bd/asus-expertbook-p1-p1412cea-core-i5-11th-gen-laptop,"RAM: 4GB 3200MHz, Storage: 512GB SSD"
100,"Walton Tamarind MX511G Core i5 11th Gen 14"" FHD Laptop",Walton,71500,https://www.startech.com.bd/walton-tamarind-mx511g-core-i5-11th-gen-laptop,"RAM: 8GB 3200MHz, Storage: 512GB SSD"
101,"Dell Inspiron 15 3525 Ryzen 5 5625U 15.6"" FHD Laptop",Dell,71500,https://www.startech.com.bd/dell-inspiron-15-3525-ryzen-5-fhd-laptop,"RAM: 8GB RAM, Storage: 512GB SSD"
102,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Flowers on Yellow",Avita,71990,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-flowers-on-yellow,"RAM: 8GB DDR4 RAM, Storage: 512GB SSD"
103,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Iris on Ruby",Avita,71990,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-iris-on-ruby,"RSM: 8GB DDR4 RAM, Storage: 512GB SSD"
104,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Paisley on Lilac",Avita,71990,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-paisley-on-lilac,"RAM: 8GB DDR4 RAM, Storage: 512GB SSD"
105,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Snowflakes on Azure Blue",Avita,71990,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-snowflakes-on-azure-blue,"RAM: 8GB DDR4 RAM, Storage: 512GB SSD"
106,"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Snowflakes on Mountain Blue",Avita,71990,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-snowflakes-on-mountain-blue,"RAM: 8GB DDR4 RAM, Storage: 512GB SSD"
107,"HP 15s-eq3619AU Ryzen 5 5625U 15.6"" FHD Laptop",HP,72900,https://www.startech.com.bd/hp-15s-eq3619au-ryzen-5-5625u-laptop,"RAM: 8GB DDR4, Storage: 512GB SSD"
108,"ASUS ExpertBook P1 P1412CEA Core i5 11th 8GB RAM Gen 14"" FHD Laptop",ASUS,73000,https://www.startech.com.bd/asus-expertbook-p1-p1412cea-core-i5-11th-gen-fhd-laptop,"RAM: 8GB 3200MHz, Storage: 512GB SSD"
109,"Dell Latitude 14 3420 Core i3 11th Gen 14"" FHD Laptop",Dell,73500,https://www.startech.com.bd/dell-latitude-14-3420-core-i3-11th-gen-fhd-laptop,"RAM: 8GB DDR4, Storage: 256GB SSD"
110,"Realme Book Core i5 11th Gen 14"" 2k UHD Laptop",Realme,74000,https://www.startech.com.bd/realme-book-core-i5-laptop,"RAM: 8GB 4266MHz LPDDR4x, Storage: 512GB SSD"
111,"Realme Book Prime Core i5 11th Gen 14"" 2K UHD Laptop",Realme,74000,https://www.startech.com.bd/realme-book-prime-core-i5-laptop,"RAM: 8GB 4266MHz LPDDR4x, Storage: 512GB SSD"
112,"HP 15s-fq2643TU Core i5 11th Gen 15.6"" HD Laptop",HP,74500,https://www.startech.com.bd/hp-15s-fq2643tu-core-i5-11th-gen-laptop,Memory: 8 GB DDR4-3200 MHz RAM
113,"Walton Passion BX710U Core i7 10th Gen 15.6"" FHD Laptop",Walton,74550,https://www.startech.com.bd/walton-passion-bx710u-core-i7-10th-gen-laptop,"RAM: 8GB 2666MHz, Storage: 512GB SATAIII M.2 2280 SSD"
114,"Lenovo IdeaPad Slim 3i 11th Gen Core i5 15.6"" FHD Laptop with 3 Years Warranty",Lenovo,75000,https://www.startech.com.bd/lenovo-ideapad-slim-3i-11th-gen-core-i5-fhd-laptop,"RAM: 8GB DDR4 3200MHz, Storage: 512GB SSD"
